"user_id","game_name","payment_month","revenue_amount_usd","language","has_older_device_model","age","engagement_month","churn_month","last_month","engagement_range","churn_range","lt"
"1jx1AjqUwE9sbCyafQnUNQ==","game 3","2022-06-01 00:00:00+00","21.33","ru","",25,"2022-06-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","0.00000000000000000000","0.00000000000000000000","6.0000000000000000"
"1jx1AjqUwE9sbCyafQnUNQ==","game 3","2022-10-01 00:00:00+00","13.23","ru","",25,"2022-06-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","4.0000000000000000","0.00000000000000000000","6.0000000000000000"
"1jx1AjqUwE9sbCyafQnUNQ==","game 3","2022-10-01 00:00:00+00","18.9","ru","",25,"2022-06-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","4.0000000000000000","0.00000000000000000000","6.0000000000000000"
"1jx1AjqUwE9sbCyafQnUNQ==","game 3","2022-12-01 00:00:00+00","38.37","ru","",25,"2022-06-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","6.0000000000000000","0.00000000000000000000","6.0000000000000000"
"1jx1AjqUwE9sbCyafQnUNQ==","game 3","2022-06-01 00:00:00+00","16.77","ru","",25,"2022-06-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","0.00000000000000000000","0.00000000000000000000","6.0000000000000000"
"1jx1AjqUwE9sbCyafQnUNQ==","game 3","2022-11-01 00:00:00+00","20.13","ru","",25,"2022-06-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","5.0000000000000000","0.00000000000000000000","6.0000000000000000"
"1KzlDBp5hORL7Y5PBaB+0g==","game 3","2022-10-01 00:00:00+00","22.47","uk","",22,"2022-09-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","1.00000000000000000000","0.00000000000000000000","3.0000000000000000"
"1KzlDBp5hORL7Y5PBaB+0g==","game 3","2022-09-01 00:00:00+00","17.82","uk","",22,"2022-09-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","0.00000000000000000000","0.00000000000000000000","3.0000000000000000"
"1KzlDBp5hORL7Y5PBaB+0g==","game 3","2022-11-01 00:00:00+00","16.8","uk","",22,"2022-09-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","2.0000000000000000","0.00000000000000000000","3.0000000000000000"
"1KzlDBp5hORL7Y5PBaB+0g==","game 3","2022-10-01 00:00:00+00","21.36","uk","",22,"2022-09-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","1.00000000000000000000","0.00000000000000000000","3.0000000000000000"
"1KzlDBp5hORL7Y5PBaB+0g==","game 3","2022-10-01 00:00:00+00","20.37","uk","",22,"2022-09-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","1.00000000000000000000","0.00000000000000000000","3.0000000000000000"
"1KzlDBp5hORL7Y5PBaB+0g==","game 3","2022-10-01 00:00:00+00","12.99","uk","",22,"2022-09-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","1.00000000000000000000","0.00000000000000000000","3.0000000000000000"
"1KzlDBp5hORL7Y5PBaB+0g==","game 3","2022-11-01 00:00:00+00","46.47","uk","",22,"2022-09-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","2.0000000000000000","0.00000000000000000000","3.0000000000000000"
"1KzlDBp5hORL7Y5PBaB+0g==","game 3","2022-09-01 00:00:00+00","18.42","uk","",22,"2022-09-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","0.00000000000000000000","0.00000000000000000000","3.0000000000000000"
"1KzlDBp5hORL7Y5PBaB+0g==","game 3","2022-09-01 00:00:00+00","21.96","uk","",22,"2022-09-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","0.00000000000000000000","0.00000000000000000000","3.0000000000000000"
"1KzlDBp5hORL7Y5PBaB+0g==","game 3","2022-12-01 00:00:00+00","21.72","uk","",22,"2022-09-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","3.0000000000000000","0.00000000000000000000","3.0000000000000000"
"1tIsLi6U0zW1RIuaViNanA==","game 3","2022-09-01 00:00:00+00","33.36","uk","",20,"2022-09-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","0.00000000000000000000","0.00000000000000000000","3.0000000000000000"
"1tIsLi6U0zW1RIuaViNanA==","game 3","2022-11-01 00:00:00+00","18.15","uk","",20,"2022-09-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","2.0000000000000000","0.00000000000000000000","3.0000000000000000"
"1tIsLi6U0zW1RIuaViNanA==","game 3","2022-12-01 00:00:00+00","30.66","uk","",20,"2022-09-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","3.0000000000000000","0.00000000000000000000","3.0000000000000000"
