"user_id","game_name","payment_month","revenue","language","has_older_device_model","age","engagement_month","mod_churn_month","lifetime_in_month"
"787jk0VnxM8/sv/0TkvO6A==","game 3","2022-12-01","17.49","uk","",20,"2022-03-01","","-2"
"7BqUeLmbiug63XrWs2+ZQQ==","game 3","2022-09-01","14.01","ru","",15,"2022-07-01","","-6"
"7BqUeLmbiug63XrWs2+ZQQ==","game 3","2022-10-01","127.08","ru","",15,"2022-07-01","","-6"
"7BqUeLmbiug63XrWs2+ZQQ==","game 3","2022-07-01","61.41","ru","",15,"2022-07-01","","-6"
"7BqUeLmbiug63XrWs2+ZQQ==","game 3","2022-08-01","32.94","ru","",15,"2022-07-01","","-6"
"7BqUeLmbiug63XrWs2+ZQQ==","game 3","2022-11-01","22.41","ru","",15,"2022-07-01","","-6"
"7BqUeLmbiug63XrWs2+ZQQ==","game 3","2022-12-01","27.12","ru","",15,"2022-07-01","","-6"
"7Em69vKH6zh6HgArCzG0+w==","game 3","2022-12-01","72.18","ru","",17,"2022-12-01","","-11"
"7EPlnA7OQ9MhMx+od6FA9g==","game 3","2022-08-01","48.18","ru","",23,"2022-03-01","","-2"
"7EPlnA7OQ9MhMx+od6FA9g==","game 3","2022-05-01","51.18","ru","",23,"2022-03-01","","-2"
"7EPlnA7OQ9MhMx+od6FA9g==","game 3","2022-03-01","158.67","ru","",23,"2022-03-01","","-2"
"7EPlnA7OQ9MhMx+od6FA9g==","game 3","2022-06-01","12.39","ru","",23,"2022-03-01","","-2"
"7EPlnA7OQ9MhMx+od6FA9g==","game 3","2022-12-01","41.16","ru","",23,"2022-03-01","","-2"
"7EPlnA7OQ9MhMx+od6FA9g==","game 3","2022-11-01","14.43","ru","",23,"2022-03-01","","-2"
"7EPlnA7OQ9MhMx+od6FA9g==","game 3","2022-04-01","114.15","ru","",23,"2022-03-01","","-2"
"7ew71UmoMb73L41PM/YL/w==","game 3","2022-07-01","40.23","uk","",17,"2022-05-01","2022-12-01","7"
"7ew71UmoMb73L41PM/YL/w==","game 3","2022-09-01","45.15","uk","",17,"2022-05-01","2022-12-01","7"
"7ew71UmoMb73L41PM/YL/w==","game 3","2022-10-01","13.74","uk","",17,"2022-05-01","2022-12-01","7"
"7ew71UmoMb73L41PM/YL/w==","game 3","2022-05-01","32.10","uk","",17,"2022-05-01","2022-12-01","7"
"7ew71UmoMb73L41PM/YL/w==","game 3","2022-08-01","40.74","uk","",17,"2022-05-01","2022-12-01","7"
"7ew71UmoMb73L41PM/YL/w==","game 3","2022-06-01","34.11","uk","",17,"2022-05-01","2022-12-01","7"
"7ew71UmoMb73L41PM/YL/w==","game 3","2022-11-01","29.76","uk","",17,"2022-05-01","2022-12-01","7"
"7GCGwypiXsxGxetp6/KmnA==","game 3","2022-11-01","45.00","uk","",31,"2022-08-01","2022-12-01","4"
"7GCGwypiXsxGxetp6/KmnA==","game 3","2022-09-01","63.30","uk","",31,"2022-08-01","2022-12-01","4"
"7GCGwypiXsxGxetp6/KmnA==","game 3","2022-08-01","30.21","uk","",31,"2022-08-01","2022-12-01","4"
"7GE5h/3N3lcro3K9T3aujw==","game 3","2022-03-01","38.52","ru","",32,"2022-03-01","2022-11-01","8"
"7GE5h/3N3lcro3K9T3aujw==","game 3","2022-09-01","90.87","ru","",32,"2022-03-01","2022-11-01","8"
"7GE5h/3N3lcro3K9T3aujw==","game 3","2022-04-01","58.20","ru","",32,"2022-03-01","2022-11-01","8"
"7GE5h/3N3lcro3K9T3aujw==","game 3","2022-07-01","89.04","ru","",32,"2022-03-01","2022-11-01","8"
"7GE5h/3N3lcro3K9T3aujw==","game 3","2022-06-01","144.75","ru","",32,"2022-03-01","2022-11-01","8"
"7GE5h/3N3lcro3K9T3aujw==","game 3","2022-08-01","104.70","ru","",32,"2022-03-01","2022-11-01","8"
"7GE5h/3N3lcro3K9T3aujw==","game 3","2022-05-01","118.95","ru","",32,"2022-03-01","2022-11-01","8"
"7GE5h/3N3lcro3K9T3aujw==","game 3","2022-10-01","77.64","ru","",32,"2022-03-01","2022-11-01","8"
"7iS0Md8Z5SFpqNAYOVcs4w==","game 3","2022-12-01","68.64","uk","",18,"2022-12-01","","-11"
"7L4SKPGMd33lnSOq6PWyYg==","game 3","2022-12-01","70.14","uk","",30,"2022-12-01","","-11"
"7luG+f1d+Ri4AjeMbFR1Xw==","game 3","2022-04-01","16.92","uk","",29,"2022-04-01","2022-10-01","6"
"7luG+f1d+Ri4AjeMbFR1Xw==","game 3","2022-09-01","15.06","uk","",29,"2022-04-01","2022-10-01","6"
"7RkS5ikrXwWByJobMXv2sA==","game 3","2022-10-01","25.89","ru","",21,"2022-10-01","","-9"
"7RkS5ikrXwWByJobMXv2sA==","game 3","2022-11-01","87.75","ru","",21,"2022-10-01","","-9"
"7RkS5ikrXwWByJobMXv2sA==","game 3","2022-12-01","66.93","ru","",21,"2022-10-01","","-9"
"7SeM1pmnTTTXfhI+x3ldng==","game 3","2022-08-01","55.56","ru","",22,"2022-03-01","","-2"
"7SeM1pmnTTTXfhI+x3ldng==","game 3","2022-12-01","15.99","ru","",22,"2022-03-01","","-2"
"7SeM1pmnTTTXfhI+x3ldng==","game 3","2022-09-01","22.71","ru","",22,"2022-03-01","","-2"
"7SeM1pmnTTTXfhI+x3ldng==","game 3","2022-07-01","82.32","ru","",22,"2022-03-01","","-2"
