"user_id","payment_month","engagement_month","churn_month","revenue","new_user_revenue","expansion_revenue","contraction_revenue","churn_revenue","revenue_changes","revenue_change_factors","game_name","language","has_older_device_model","age","lifetime_in_month"
"4pssft0TgDfiQexjbe25lw==","2022-11-01","2022-06-01","2022-12-01","37.80","","","-21.60","","-21.60","contraction revenue","game 3","ru","",26,6
"4pssft0TgDfiQexjbe25lw==","2022-12-01","2022-06-01","2022-12-01","0","","","","-37.80","-37.80","churn revenue","game 3","ru","",26,6
"54ouP7lBhVCeV8ftS1Oj4Q==","2022-11-01","2022-11-01","","29.22","29.22","","","","29.22","new user revenue","game 3","ru","",21,2
"54ouP7lBhVCeV8ftS1Oj4Q==","2022-12-01","2022-11-01","","28.23","","","-0.99","","-0.99","contraction revenue","game 3","ru","",21,2
"5a/eDajN+4bJdigfI5TWoQ==","2022-07-01","2022-07-01","2022-08-01","12.87","12.87","","","","12.87","new user revenue","game 3","ru","",17,1
"5a/eDajN+4bJdigfI5TWoQ==","2022-08-01","2022-07-01","2022-08-01","0","","","","-12.87","-12.87","churn revenue","game 3","ru","",17,1
"5fGaUgWk82R8c6U6A5d9pg==","2022-12-01","2022-12-01","","17.28","17.28","","","","17.28","new user revenue","game 3","uk","",31,1
"5n2VR2SS79K3vJ0/V2A8RQ==","2022-08-01","2022-08-01","2022-10-01","47.13","47.13","","","","47.13","new user revenue","game 3","ru","",27,2
"5n2VR2SS79K3vJ0/V2A8RQ==","2022-09-01","2022-08-01","2022-10-01","32.04","","","-15.09","","-15.09","contraction revenue","game 3","ru","",27,2
"5n2VR2SS79K3vJ0/V2A8RQ==","2022-10-01","2022-08-01","2022-10-01","0","","","","-32.04","-32.04","churn revenue","game 3","ru","",27,2
"6NexxpTuLaFmuoksJ0l8rg==","2022-10-01","2022-10-01","","19.17","19.17","","","","19.17","new user revenue","game 3","uk","",24,3
"6NexxpTuLaFmuoksJ0l8rg==","2022-12-01","2022-10-01","","102.84","","83.67","","","83.67","expansion revenue","game 3","uk","",24,3
"6We7zBO7mVbNxGEl/xPKVg==","2022-05-01","2022-05-01","","22.74","22.74","","","","22.74","new user revenue","game 3","uk","",19,8
"6We7zBO7mVbNxGEl/xPKVg==","2022-06-01","2022-05-01","","28.95","","6.21","","","6.21","expansion revenue","game 3","uk","",19,8
"6We7zBO7mVbNxGEl/xPKVg==","2022-07-01","2022-05-01","","118.83","","89.88","","","89.88","expansion revenue","game 3","uk","",19,8
