"user_id","game_name","payment_date","revenue_amount_usd","user_id","game_name","language","has_older_device_model","age"
s27V1tbCAysovKSY1XcdWQ==,game 3,2022-07-05,13.56,s27V1tbCAysovKSY1XcdWQ==,game 3,uk,false,34
ilnMSoPJHAYMegDX02XG+w==,game 3,2022-05-23,28.11,ilnMSoPJHAYMegDX02XG+w==,game 3,uk,false,25
"7EPlnA7OQ9MhMx+od6FA9g==",game 3,2022-03-23,24.09,"7EPlnA7OQ9MhMx+od6FA9g==",game 3,ru,false,23
geIiJ1L04w2qAE0qzQUb2g==,game 3,2022-09-04,22.92,geIiJ1L04w2qAE0qzQUb2g==,game 3,uk,false,23
hi1ErLiMLDP0HWvMqLKv6g==,game 3,2022-11-28,27.75,hi1ErLiMLDP0HWvMqLKv6g==,game 3,ru,false,18
"3Xuq0acIoGEgw19qflIoog==",game 3,2022-07-02,14.52,"3Xuq0acIoGEgw19qflIoog==",game 3,uk,false,25
"4pssft0TgDfiQexjbe25lw==",game 3,2022-08-15,14.61,"4pssft0TgDfiQexjbe25lw==",game 3,ru,false,26
BTD3ZjLKfkT6ZRBT9zRwtg==,game 3,2022-06-09,22.62,BTD3ZjLKfkT6ZRBT9zRwtg==,game 3,uk,true,14
B4tGKx0IrkPGAUEnO6mMNA==,game 3,2022-11-22,13.41,B4tGKx0IrkPGAUEnO6mMNA==,game 3,uk,false,19
v9uJC6CIm0KR00+LpWQUBg==,game 3,2022-11-28,19.35,v9uJC6CIm0KR00+LpWQUBg==,game 3,uk,false,18
Vn7Z6/B2x4f/w8R6xVfw5w==,game 3,2022-08-24,17.67,Vn7Z6/B2x4f/w8R6xVfw5w==,game 3,uk,false,18
fvYhEtD56gROaXqCi9/z/Q==,game 3,2022-07-30,21.69,fvYhEtD56gROaXqCi9/z/Q==,game 3,uk,false,19
er3/fOrRpmyqiRaC0CaFcg==,game 3,2022-09-12,30.03,er3/fOrRpmyqiRaC0CaFcg==,game 3,uk,false,21
K/6KHxREKTlFZXRfBNVNuQ==,game 3,2022-09-20,18.18,K/6KHxREKTlFZXRfBNVNuQ==,game 3,ru,false,19
AN9at3LlvDamqXq8dvHD4w==,game 3,2022-07-07,13.71,AN9at3LlvDamqXq8dvHD4w==,game 3,ru,false,24
VTaIkhD9hJKcnvA6Kw5p9g==,game 3,2022-10-13,20.1,VTaIkhD9hJKcnvA6Kw5p9g==,game 3,ru,false,25
"7vnYIRqjBNlAyBbtPg02tQ==",game 3,2022-09-21,23.16,"7vnYIRqjBNlAyBbtPg02tQ==",game 3,uk,false,21
"8ncYOMYXeKDelzX40EnuLA==",game 3,2022-12-06,14.85,"8ncYOMYXeKDelzX40EnuLA==",game 3,uk,false,19
"1KzlDBp5hORL7Y5PBaB+0g==",game 3,2022-10-16,22.47,"1KzlDBp5hORL7Y5PBaB+0g==",game 3,uk,false,22
hi1ErLiMLDP0HWvMqLKv6g==,game 3,2022-10-18,20.07,hi1ErLiMLDP0HWvMqLKv6g==,game 3,ru,false,18
r9AjQVS2nstu5lpVmDlihA==,game 3,2022-08-15,12.27,r9AjQVS2nstu5lpVmDlihA==,game 3,ru,false,22
HRBsRwGu5mkTvZBTNpA0tQ==,game 3,2022-04-20,20.28,HRBsRwGu5mkTvZBTNpA0tQ==,game 3,ru,false,17
+Awa0l8QDZ6iKBSRiA6dRQ==,game 3,2022-10-09,34.59,+Awa0l8QDZ6iKBSRiA6dRQ==,game 3,ru,false,16
zSepnWFgLH0tQb1s4mxKZQ==,game 3,2022-09-20,24.3,zSepnWFgLH0tQb1s4mxKZQ==,game 3,uk,false,24
Dbff3x5cRk6/tUY3WQdzFQ==,game 3,2022-05-30,31.2,Dbff3x5cRk6/tUY3WQdzFQ==,game 3,uk,false,21
hi1ErLiMLDP0HWvMqLKv6g==,game 3,2022-07-13,19.05,hi1ErLiMLDP0HWvMqLKv6g==,game 3,ru,false,18
F03P4YcFbbtcWUlujjIQmQ==,game 3,2022-11-29,22.77,F03P4YcFbbtcWUlujjIQmQ==,game 3,ru,true,20
VAduzk1Og0uicXfMLD3VbQ==,game 3,2022-09-05,16.02,VAduzk1Og0uicXfMLD3VbQ==,game 3,uk,false,25
G+PCL1Jo+k4D3zpLGa3+aQ==,game 3,2022-12-26,14.22,G+PCL1Jo+k4D3zpLGa3+aQ==,game 3,uk,true,25
"9IWUQ1iWPfYSSN2tWuVqMQ==",game 3,2022-08-09,26.76,"9IWUQ1iWPfYSSN2tWuVqMQ==",game 3,ru,false,24
Ghk2iJmzSUW4qLsmJgwOcw==,game 3,2022-06-05,14.94,Ghk2iJmzSUW4qLsmJgwOcw==,game 3,uk,false,16
"0A5RkQrm+GBgG7KSFk/xhw==",game 3,2022-08-27,13.53,"0A5RkQrm+GBgG7KSFk/xhw==",game 3,uk,false,31
cv6g2/jSkR+FwO58WY85DQ==,game 3,2022-08-01,23.34,cv6g2/jSkR+FwO58WY85DQ==,game 3,uk,false,20
T+RA0/fgzbUBLF89D4AEDA==,game 3,2022-06-12,16.23,T+RA0/fgzbUBLF89D4AEDA==,game 3,ru,false,23
B4b6v6eUHvAVOeAQk6EEiw==,game 3,2022-06-21,29.58,B4b6v6eUHvAVOeAQk6EEiw==,game 3,ru,false,23
"4btLP2zvi8eBV0t08fdkKQ==",game 3,2022-07-06,23.91,"4btLP2zvi8eBV0t08fdkKQ==",game 3,ru,false,20
lJW2nxFOiXDfsmSrwGsFQw==,game 3,2022-09-25,24.87,lJW2nxFOiXDfsmSrwGsFQw==,game 3,uk,false,20
zmZPan/KZoyrIR2r/SvLdA==,game 3,2022-12-12,13.35,zmZPan/KZoyrIR2r/SvLdA==,game 3,ru,false,15
A6QTeGOKjaGkGkRCFqNybw==,game 3,2022-08-08,13.62,A6QTeGOKjaGkGkRCFqNybw==,game 3,ru,false,33
B4tGKx0IrkPGAUEnO6mMNA==,game 3,2022-11-23,14.61,B4tGKx0IrkPGAUEnO6mMNA==,game 3,uk,false,19
"06RPvlsFPCmM9ag+iSM/Ag==",game 3,2022-06-08,14.16,"06RPvlsFPCmM9ag+iSM/Ag==",game 3,ru,false,34
er3/fOrRpmyqiRaC0CaFcg==,game 3,2022-09-21,27.24,er3/fOrRpmyqiRaC0CaFcg==,game 3,uk,false,21
"8TTRdxncZg7Nl0tvfwsZng==",game 3,2022-05-30,14.25,"8TTRdxncZg7Nl0tvfwsZng==",game 3,uk,false,30
eoqO46DzxSrKA2rredUNyQ==,game 3,2022-10-06,16.65,eoqO46DzxSrKA2rredUNyQ==,game 3,uk,false,24
"7EPlnA7OQ9MhMx+od6FA9g==",game 3,2022-05-26,13.23,"7EPlnA7OQ9MhMx+od6FA9g==",game 3,ru,false,23
dUXVADLWvf2uvh+Q6TNrMw==,game 3,2022-11-14,12.3,dUXVADLWvf2uvh+Q6TNrMw==,game 3,ru,false,19
F03P4YcFbbtcWUlujjIQmQ==,game 3,2022-10-15,21.78,F03P4YcFbbtcWUlujjIQmQ==,game 3,ru,true,20
"7SeM1pmnTTTXfhI+x3ldng==",game 3,2022-11-16,38.46,"7SeM1pmnTTTXfhI+x3ldng==",game 3,ru,false,22
LO9NuZYI6zP2HXEBAS4wpw==,game 3,2022-10-12,14.49,LO9NuZYI6zP2HXEBAS4wpw==,game 3,uk,false,23
OU1FxSli7e6szUGr2+7M9A==,game 3,2022-12-04,20.55,OU1FxSli7e6szUGr2+7M9A==,game 3,uk,false,25
DqezK7HAqZ+GovyRuzxD1A==,game 3,2022-07-29,41.34,DqezK7HAqZ+GovyRuzxD1A==,game 3,uk,false,23
VAduzk1Og0uicXfMLD3VbQ==,game 3,2022-12-11,21.3,VAduzk1Og0uicXfMLD3VbQ==,game 3,uk,false,25
"7RkS5ikrXwWByJobMXv2sA==",game 3,2022-12-23,40.2,"7RkS5ikrXwWByJobMXv2sA==",game 3,ru,false,21
r9AjQVS2nstu5lpVmDlihA==,game 3,2022-07-02,24.84,r9AjQVS2nstu5lpVmDlihA==,game 3,ru,false,22
"3Xuq0acIoGEgw19qflIoog==",game 3,2022-09-24,16.62,"3Xuq0acIoGEgw19qflIoog==",game 3,uk,false,25
q8UcdT1sZCl07AqhDVz5ZA==,game 3,2022-08-10,15.18,q8UcdT1sZCl07AqhDVz5ZA==,game 3,uk,false,15
Q0GNgLhqfwwVwtvQhJt58A==,game 3,2022-11-12,21.24,Q0GNgLhqfwwVwtvQhJt58A==,game 3,ru,false,24
q8UcdT1sZCl07AqhDVz5ZA==,game 3,2022-10-08,33.0,q8UcdT1sZCl07AqhDVz5ZA==,game 3,uk,false,15
Jp0hnV9XOJGVV5jpFhlqgQ==,game 3,2022-06-13,22.14,Jp0hnV9XOJGVV5jpFhlqgQ==,game 3,uk,false,25
tBFTAZra3r5TkHhDubnYyg==,game 3,2022-10-16,28.68,tBFTAZra3r5TkHhDubnYyg==,game 3,uk,false,19
Ox0UcaMHdCuTLe5/JQrJMQ==,game 3,2022-10-05,20.25,Ox0UcaMHdCuTLe5/JQrJMQ==,game 3,ru,false,18
"7GE5h/3N3lcro3K9T3aujw==",game 3,2022-04-10,16.62,"7GE5h/3N3lcro3K9T3aujw==",game 3,ru,false,32
ildaqkizLaFesmkjCvlzmQ==,game 3,2022-08-09,25.95,ildaqkizLaFesmkjCvlzmQ==,game 3,uk,false,24
crKNTIblJ0113SKEtSJQHw==,game 3,2022-05-10,15.96,crKNTIblJ0113SKEtSJQHw==,game 3,uk,false,16
ZxxZ87IcpgSh4lQ/VSIjnA==,game 3,2022-07-04,23.19,ZxxZ87IcpgSh4lQ/VSIjnA==,game 3,uk,false,22
zmZPan/KZoyrIR2r/SvLdA==,game 3,2022-07-14,17.1,zmZPan/KZoyrIR2r/SvLdA==,game 3,ru,false,15
"2KL9Q4TKLCcD4cngwhx6Dg==",game 3,2022-11-10,24.84,"2KL9Q4TKLCcD4cngwhx6Dg==",game 3,ru,false,18
q+yzIb2a/avnS9k89SDQVw==,game 3,2022-12-10,16.47,q+yzIb2a/avnS9k89SDQVw==,game 3,uk,true,19
q8UcdT1sZCl07AqhDVz5ZA==,game 3,2022-09-16,17.97,q8UcdT1sZCl07AqhDVz5ZA==,game 3,uk,false,15
"1BBMagZRq/39AV1l2rm4Iw==",game 3,2022-11-27,14.67,"1BBMagZRq/39AV1l2rm4Iw==",game 3,ru,false,23
HxWcXHURvvtOJkrXAcDxQg==,game 3,2022-05-26,25.47,HxWcXHURvvtOJkrXAcDxQg==,game 3,uk,false,15
zmZPan/KZoyrIR2r/SvLdA==,game 3,2022-08-14,16.2,zmZPan/KZoyrIR2r/SvLdA==,game 3,ru,false,15
WDsSR+yQGqoMMBfCxqkZlw==,game 3,2022-10-01,17.94,WDsSR+yQGqoMMBfCxqkZlw==,game 3,uk,false,24
OU1FxSli7e6szUGr2+7M9A==,game 3,2022-12-29,20.97,OU1FxSli7e6szUGr2+7M9A==,game 3,uk,false,25
gxZPbCoYIu8slavUm05KGA==,game 3,2022-11-02,29.22,gxZPbCoYIu8slavUm05KGA==,game 3,ru,false,14
mzGpnrpyuOB+qfwTJ0XliQ==,game 3,2022-12-04,25.74,mzGpnrpyuOB+qfwTJ0XliQ==,game 3,ru,false,16
FnaqKQlPHm2pH1+S+K+Gfg==,game 3,2022-11-12,14.25,FnaqKQlPHm2pH1+S+K+Gfg==,game 3,uk,false,19
RwtKwrRSrVpyAMRaDyhr8g==,game 3,2022-09-20,15.21,RwtKwrRSrVpyAMRaDyhr8g==,game 3,uk,false,44
e/6IajqZ922YY1rh2ErMJQ==,game 3,2022-09-22,15.69,e/6IajqZ922YY1rh2ErMJQ==,game 3,en,false,25
"7GE5h/3N3lcro3K9T3aujw==",game 3,2022-06-19,16.47,"7GE5h/3N3lcro3K9T3aujw==",game 3,ru,false,32
lx3SsUV7NOrv93tCexVp5A==,game 3,2022-10-22,16.02,lx3SsUV7NOrv93tCexVp5A==,game 3,uk,false,16
hi1ErLiMLDP0HWvMqLKv6g==,game 3,2022-07-24,31.11,hi1ErLiMLDP0HWvMqLKv6g==,game 3,ru,false,18
NMmQVq8bB84KydONJjvTfQ==,game 3,2022-03-13,15.33,NMmQVq8bB84KydONJjvTfQ==,game 3,uk,true,18
